SKU_ID,Group_Name,Member_Name,Album_Version,Card_Title,Image_URL,US_Market_Price,JP_Market_Price,eBay_Aff_Link,Yahoo_Aff_Link,Condition_Grade,Last_Updated,Album_Cover_URL
PE-WHI-10010,WHIB, Jeon Lee-jeong,Standard,WHIB  Jeon Lee-jeong Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=WHIB+ Jeon Lee-jeong+photocard,https://auctions.yahoo.co.jp/search/search?p=WHIB+ Jeon Lee-jeong+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/c525b922-2257-43a7-aac7-6d92a564d9f2/front-250
PE-QUE-10011,Queenz Eye, Shin Ah-yoon,Standard,Queenz Eye  Shin Ah-yoon Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Queenz Eye+ Shin Ah-yoon+photocard,https://auctions.yahoo.co.jp/search/search?p=Queenz Eye+ Shin Ah-yoon+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/11b36eb7-9c7b-4960-96d6-23b042552c6a/front-250
PE-&TE-10012,&TEAM, Takayama Riki,Standard,&TEAM  Takayama Riki Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=&TEAM+ Takayama Riki+photocard,https://auctions.yahoo.co.jp/search/search?p=&TEAM+ Takayama Riki+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/0b5a008c-d274-4445-ab14-8a22e613b169/front-250
PE-ANT-10013,ANTARES,-,Standard,ANTARES - Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=ANTARES+-+photocard,https://auctions.yahoo.co.jp/search/search?p=ANTARES+-+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/0d78487b-8d18-37a7-aa3f-5e0502884550/front-250
PE-GAV-10014,Gavy NJ,-,Standard,Gavy NJ - Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Gavy NJ+-+photocard,https://auctions.yahoo.co.jp/search/search?p=Gavy NJ+-+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/cc3f5a5a-59d3-47ba-a6ec-405658e5ea14/front-250
PE-POC-10015,2Z,-,Standard,2Z - Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=2Z+-+photocard,https://auctions.yahoo.co.jp/search/search?p=2Z+-+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/1fe3de23-4690-4a81-ad7f-71faf0ba656b/front-250
PE-KPO-10016,KPop Demon Hunters,Abby,Standard,KPop Demon Hunters Abby Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=KPop Demon Hunters+Abby+photocard,https://auctions.yahoo.co.jp/search/search?p=KPop Demon Hunters+Abby+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/96ff4009-fd37-4714-9a90-84856f8fc99a/front-250
PE-NAT-10017,Nature,Abe Haruno,Standard,Nature Abe Haruno Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Nature+Abe Haruno+photocard,https://auctions.yahoo.co.jp/search/search?p=Nature+Abe Haruno+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/b1e1463e-041b-3b5e-aef3-933adad50055/front-250
PE-MAD-10018,MADEIN,Abe Nagomi,Standard,MADEIN Abe Nagomi Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=MADEIN+Abe Nagomi+photocard,https://auctions.yahoo.co.jp/search/search?p=MADEIN+Abe Nagomi+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/467036f9-49b9-4a6c-83f0-c012819a2484/front-250
PE-PIC-10019,PICKUS,Abe Yura,Standard,PICKUS Abe Yura Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=PICKUS+Abe Yura+photocard,https://auctions.yahoo.co.jp/search/search?p=PICKUS+Abe Yura+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/f5e91b0c-a661-3ff0-a494-3aa499a4d21d/front-250
PE-OUR-10020,OURBIRTHDAY,Achiraya Karwinwit,Standard,OURBIRTHDAY Achiraya Karwinwit Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=OURBIRTHDAY+Achiraya Karwinwit+photocard,https://auctions.yahoo.co.jp/search/search?p=OURBIRTHDAY+Achiraya Karwinwit+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/222ddff1-6a5f-474e-861a-23a5ce9944f3/front-250
PE-PEN-10021,PENTAGON,Adachi Yuto,Standard,PENTAGON Adachi Yuto Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=PENTAGON+Adachi Yuto+photocard,https://auctions.yahoo.co.jp/search/search?p=PENTAGON+Adachi Yuto+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/3c11d20e-4948-42f7-99b2-5e5c61bd419c/front-250
PE-ROA-10022,RoaD-B,Ahn Chanseung,Standard,RoaD-B Ahn Chanseung Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=RoaD-B+Ahn Chanseung+photocard,https://auctions.yahoo.co.jp/search/search?p=RoaD-B+Ahn Chanseung+photocard,Ungraded,2026-08-09,
PE-H.O-10023,H.O.T.,Ahn Chil Hyun,Standard,H.O.T. Ahn Chil Hyun Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=H.O.T.+Ahn Chil Hyun+photocard,https://auctions.yahoo.co.jp/search/search?p=H.O.T.+Ahn Chil Hyun+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/fb4f8929-2f27-3e8e-a194-b735168b4a95/front-250
PE-TEE-10024,Teen Top,Ahn Daniel,Standard,Teen Top Ahn Daniel Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Teen Top+Ahn Daniel+photocard,https://auctions.yahoo.co.jp/search/search?p=Teen Top+Ahn Daniel+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/c9f71086-d30d-45fb-b65a-c33b99101815/front-250
PE-DIA-10025,DIA,Ahn Eun Jin,Standard,DIA Ahn Eun Jin Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=DIA+Ahn Eun Jin+photocard,https://auctions.yahoo.co.jp/search/search?p=DIA+Ahn Eun Jin+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/2f39cb8f-9d06-3b4f-956a-9b66c821549a/front-250
PE-HEL-10026,Hello Venus,Ahn Ga-ryeong,Standard,Hello Venus Ahn Ga-ryeong Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Hello Venus+Ahn Ga-ryeong+photocard,https://auctions.yahoo.co.jp/search/search?p=Hello Venus+Ahn Ga-ryeong+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/1be875c9-e1ad-45d9-a0fa-6995943d9ccb/front-250
PE-EXI-10027,EXID,Ahn Hee-yeon,Standard,EXID Ahn Hee-yeon Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=EXID+Ahn Hee-yeon+photocard,https://auctions.yahoo.co.jp/search/search?p=EXID+Ahn Hee-yeon+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/c5313138-c908-4c14-8581-3060a9f39c05/front-250
PE-MAM-10028,MAMAMOO,Ahn Hyejin,Standard,MAMAMOO Ahn Hyejin Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=MAMAMOO+Ahn Hyejin+photocard,https://auctions.yahoo.co.jp/search/search?p=MAMAMOO+Ahn Hyejin+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/3599641b-d566-44d3-9990-d91ef9faeda6/front-250
PE-TEM-10029,Tempest,Ahn Hyeong-seop,Standard,Tempest Ahn Hyeong-seop Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Tempest+Ahn Hyeong-seop+photocard,https://auctions.yahoo.co.jp/search/search?p=Tempest+Ahn Hyeong-seop+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/35db79f5-2b8a-3865-88df-acfb89a6fe77/front-250
PE-DAD-10030,DADADA,Ahn Hyunjun,Standard,DADADA Ahn Hyunjun Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=DADADA+Ahn Hyunjun+photocard,https://auctions.yahoo.co.jp/search/search?p=DADADA+Ahn Hyunjun+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/d906d7fb-7f5d-41b3-b27f-f39bfcb78a5a/front-250
PE-BLO-10031,Block B,Ahn Jae Hyo,Standard,Block B Ahn Jae Hyo Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Block B+Ahn Jae Hyo+photocard,https://auctions.yahoo.co.jp/search/search?p=Block B+Ahn Jae Hyo+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/4cea197e-de13-464f-8ad6-e6335ddd1cb1/front-250
PE-LUC-10032,LUCENTE,Ahn Ji Hoo,Standard,LUCENTE Ahn Ji Hoo Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=LUCENTE+Ahn Ji Hoo+photocard,https://auctions.yahoo.co.jp/search/search?p=LUCENTE+Ahn Ji Hoo+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/1cdc1056-3087-4328-ade6-71cf107e6d3e/front-250
PE-A.K-10033,A.KOR,Ahn Ji Young,Standard,A.KOR Ahn Ji Young Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=A.KOR+Ahn Ji Young+photocard,https://auctions.yahoo.co.jp/search/search?p=A.KOR+Ahn Ji Young+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/cd4e48d7-f72a-4c6f-a803-a64c6d983435/front-250
PE-SUN-10034,Sunny Hill,Ahn Jin Ah,Standard,Sunny Hill Ahn Jin Ah Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Sunny Hill+Ahn Jin Ah+photocard,https://auctions.yahoo.co.jp/search/search?p=Sunny Hill+Ahn Jin Ah+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/db813909-0517-3f5e-831d-497554d5dad6/front-250
PE-BOL-10035,Bolbbalgan4,Ahn Jiyoung,Standard,Bolbbalgan4 Ahn Jiyoung Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Bolbbalgan4+Ahn Jiyoung+photocard,https://auctions.yahoo.co.jp/search/search?p=Bolbbalgan4+Ahn Jiyoung+photocard,Ungraded,2026-08-09,
PE-COR-10036,CORTIS,Ahn Keonho,Standard,CORTIS Ahn Keonho Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=CORTIS+Ahn Keonho+photocard,https://auctions.yahoo.co.jp/search/search?p=CORTIS+Ahn Keonho+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/4a297ef7-7782-4c18-8d48-dcf58fc5e953/front-250
PE-CAT-10037,CATCH THE YOUNG,Ahn Kihoon,Standard,CATCH THE YOUNG Ahn Kihoon Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=CATCH THE YOUNG+Ahn Kihoon+photocard,https://auctions.yahoo.co.jp/search/search?p=CATCH THE YOUNG+Ahn Kihoon+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/f8216fee-a631-4cd0-a2dc-2d82577f276f/front-250
PE-CRA-10038,CRAVITY,Ahn Seongmin,Standard,CRAVITY Ahn Seongmin Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=CRAVITY+Ahn Seongmin+photocard,https://auctions.yahoo.co.jp/search/search?p=CRAVITY+Ahn Seongmin+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/f428e357-55bb-4459-bdda-6c260c476e71/front-250
PE-S2I-10039,S2iT,Ahn Seungbi,Standard,S2iT Ahn Seungbi Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=S2iT+Ahn Seungbi+photocard,https://auctions.yahoo.co.jp/search/search?p=S2iT+Ahn Seungbi+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/1fa7abc2-8f30-48ab-a7b3-2a7a0acae148/front-250
PE-WE;-10040,We;Na,Ahn Seungwon,Standard,We;Na Ahn Seungwon Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=We;Na+Ahn Seungwon+photocard,https://auctions.yahoo.co.jp/search/search?p=We;Na+Ahn Seungwon+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/2d53d67e-5c0e-471a-bca9-c55831aab9e8/front-250
PE-3PI-10041,3piece,Ahn Sohyeon,Standard,3piece Ahn Sohyeon Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=3piece+Ahn Sohyeon+photocard,https://auctions.yahoo.co.jp/search/search?p=3piece+Ahn Sohyeon+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/7fbfc5c7-ea52-4778-81d9-a8a45c7ad487/front-250
PE-SCA-10042,Scarlet (2014),Ahn Sol-hee,Standard,Scarlet (2014) Ahn Sol-hee Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Scarlet (2014)+Ahn Sol-hee+photocard,https://auctions.yahoo.co.jp/search/search?p=Scarlet (2014)+Ahn Sol-hee+photocard,Ungraded,2026-08-09,
PE-LAB-10043,LABOUM,Ahn Solbin,Standard,LABOUM Ahn Solbin Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=LABOUM+Ahn Solbin+photocard,https://auctions.yahoo.co.jp/search/search?p=LABOUM+Ahn Solbin+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/bfdea3c0-3a21-401c-b01e-f1213696c2ac/front-250
PE-DIA-10044,DIA,Ahn Somyi,Standard,DIA Ahn Somyi Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=DIA+Ahn Somyi+photocard,https://auctions.yahoo.co.jp/search/search?p=DIA+Ahn Somyi+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/2f39cb8f-9d06-3b4f-956a-9b66c821549a/front-250
PE-AHN-10045,Ahn Yeeun,Ahn Yeeun,Standard,Ahn Yeeun Ahn Yeeun Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Ahn Yeeun+Ahn Yeeun+photocard,https://auctions.yahoo.co.jp/search/search?p=Ahn Yeeun+Ahn Yeeun+photocard,Ungraded,2026-08-09,
PE-MEL-10046,MelodyDay,Ahn Yein,Standard,MelodyDay Ahn Yein Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=MelodyDay+Ahn Yein+photocard,https://auctions.yahoo.co.jp/search/search?p=MelodyDay+Ahn Yein+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/3f4589ca-70bb-4004-b074-022be007f431/front-250
PE-P.O-10047,P.O.P,Ahn Yeonji,Standard,P.O.P Ahn Yeonji Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=P.O.P+Ahn Yeonji+photocard,https://auctions.yahoo.co.jp/search/search?p=P.O.P+Ahn Yeonji+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/8aea8dde-8fba-31cf-948f-56cf858b8920/front-250
PE-ART-10048,ARTBEAT v,Ahn Yoojin,Standard,ARTBEAT v Ahn Yoojin Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=ARTBEAT v+Ahn Yoojin+photocard,https://auctions.yahoo.co.jp/search/search?p=ARTBEAT v+Ahn Yoojin+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/5f92de2e-7924-40cb-9b4d-a813a1aad6e6/front-250
PE-VAN-10049,VANNER,Ahn Young-jun,Standard,VANNER Ahn Young-jun Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=VANNER+Ahn Young-jun+photocard,https://auctions.yahoo.co.jp/search/search?p=VANNER+Ahn Young-jun+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/5d14dd24-3103-411f-a0e8-839ee71c91f4/front-250
PE-CEL-10050,Celeb Five,Ahn Youngmi,Standard,Celeb Five Ahn Youngmi Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Celeb Five+Ahn Youngmi+photocard,https://auctions.yahoo.co.jp/search/search?p=Celeb Five+Ahn Youngmi+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/c16e98b3-48e4-4e8a-bedc-5632bbaec165/front-250
PE-CUT-10051,Cutie Street,Aika Sano,Standard,Cutie Street Aika Sano Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Cutie Street+Aika Sano+photocard,https://auctions.yahoo.co.jp/search/search?p=Cutie Street+Aika Sano+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/deb85ed8-d3d6-4105-aac3-e50cb7386807/front-250
PE-AIL-10052,Ailee,Ailee,Standard,Ailee Ailee Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Ailee+Ailee+photocard,https://auctions.yahoo.co.jp/search/search?p=Ailee+Ailee+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/5d050a95-4ac9-4d30-802b-2943fb77af39/front-250
PE-IS:-10053,IS:SUE,Aita Rin ,Standard,IS:SUE Aita Rin  Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=IS:SUE+Aita Rin +photocard,https://auctions.yahoo.co.jp/search/search?p=IS:SUE+Aita Rin +photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/bc5c2dc9-eb81-4409-8574-8144e09d8cbe/front-250
PE-STE-10054,StelLive,Akane Lize,Standard,StelLive Akane Lize Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=StelLive+Akane Lize+photocard,https://auctions.yahoo.co.jp/search/search?p=StelLive+Akane Lize+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/5bf95799-8bd2-4014-8599-0e310be60074/front-250
PE-ALL-10055,ALL(H)OURS,Akiba Masami,Standard,ALL(H)OURS Akiba Masami Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=ALL(H)OURS+Akiba Masami+photocard,https://auctions.yahoo.co.jp/search/search?p=ALL(H)OURS+Akiba Masami+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/c555fb21-d518-461b-8fdf-00fed53f258c/front-250
PE-POC-10056,XG,Akiyama Cocona,Standard,XG Akiyama Cocona Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=XG+Akiyama Cocona+photocard,https://auctions.yahoo.co.jp/search/search?p=XG+Akiyama Cocona+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/6f67b733-cef9-41e0-98d6-a441bc71f71f/front-250
PE-H//-10057,H//PE PRINCESS,Akiyama Koko,Standard,H//PE PRINCESS Akiyama Koko Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=H//PE PRINCESS+Akiyama Koko+photocard,https://auctions.yahoo.co.jp/search/search?p=H//PE PRINCESS+Akiyama Koko+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/fd03557d-e450-4623-a333-2b8a1b38f6e8/front-250
PE-SAN-10058,Santos Bravos,Alejandro Aramburú,Standard,Santos Bravos Alejandro Aramburú Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Santos Bravos+Alejandro Aramburú+photocard,https://auctions.yahoo.co.jp/search/search?p=Santos Bravos+Alejandro Aramburú+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/35295b10-9332-4d32-8d5d-1cbbd40eaa28/front-250
PE-SAN-10059,Santos Bravos,Alejandro Gabriel Bermúdez,Standard,Santos Bravos Alejandro Gabriel Bermúdez Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Santos Bravos+Alejandro Gabriel Bermúdez+photocard,https://auctions.yahoo.co.jp/search/search?p=Santos Bravos+Alejandro Gabriel Bermúdez+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/35295b10-9332-4d32-8d5d-1cbbd40eaa28/front-250
PE-U-K-10060,U-KISS,Alexander Lee Eusebio,Standard,U-KISS Alexander Lee Eusebio Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=U-KISS+Alexander Lee Eusebio+photocard,https://auctions.yahoo.co.jp/search/search?p=U-KISS+Alexander Lee Eusebio+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/04ce79a6-3589-4404-81ff-b4e16ecfc058/front-250
PE-DRI-10061,DRIPPIN,Alexander Vincent Schmidt | Lee Hayoung,Standard,DRIPPIN Alexander Vincent Schmidt | Lee Hayoung Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=DRIPPIN+Alexander Vincent Schmidt | Lee Hayoung+photocard,https://auctions.yahoo.co.jp/search/search?p=DRIPPIN+Alexander Vincent Schmidt | Lee Hayoung+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/7abf0ab6-4b69-4eec-a84c-54c6b991f8d9/front-250
PE-RAN-10062,RaNia,Alexandra Reid Varley,Standard,RaNia Alexandra Reid Varley Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=RaNia+Alexandra Reid Varley+photocard,https://auctions.yahoo.co.jp/search/search?p=RaNia+Alexandra Reid Varley+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/2c6ca1da-5aec-428c-8b3d-0e5f55b0adc6/front-250
PE-KIM-10063,Kim Seri,Alexaundra Christine Schneiderman,Standard,Kim Seri Alexaundra Christine Schneiderman Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=Kim Seri+Alexaundra Christine Schneiderman+photocard,https://auctions.yahoo.co.jp/search/search?p=Kim Seri+Alexaundra Christine Schneiderman+photocard,Ungraded,2026-08-09,
PE-DKB-10064,DKB,Amanuma Yuku,Standard,DKB Amanuma Yuku Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=DKB+Amanuma Yuku+photocard,https://auctions.yahoo.co.jp/search/search?p=DKB+Amanuma Yuku+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/9ecbb55b-aa70-4b75-a22a-405d76173a6f/front-250
PE-BAS-10065,BASTTIE,Amber,Standard,BASTTIE Amber Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=BASTTIE+Amber+photocard,https://auctions.yahoo.co.jp/search/search?p=BASTTIE+Amber+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/076a45fa-4dd8-4026-9f5f-9079eb33b314/front-250
PE-F(X-10066,f(x),Amber Josephine Liu,Standard,f(x) Amber Josephine Liu Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=f(x)+Amber Josephine Liu+photocard,https://auctions.yahoo.co.jp/search/search?p=f(x)+Amber Josephine Liu+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/4ed277a2-93e2-3232-9e68-55f90b86186f/front-250
PE-POC-10067,XG,Amy Jannet Harvey,Standard,XG Amy Jannet Harvey Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=XG+Amy Jannet Harvey+photocard,https://auctions.yahoo.co.jp/search/search?p=XG+Amy Jannet Harvey+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/6f67b733-cef9-41e0-98d6-a441bc71f71f/front-250
PE-THE-10068,The Wind,An Chanwon,Standard,The Wind An Chanwon Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=The Wind+An Chanwon+photocard,https://auctions.yahoo.co.jp/search/search?p=The Wind+An Chanwon+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/e6d37dfb-1875-45ca-93d3-7e57babdbbe9/front-250
PE-A.D-10069,A.De,An Choyoon,Standard,A.De An Choyoon Official Photocard,,0.00,0,https://www.ebay.com/sch/i.html?_nkw=A.De+An Choyoon+photocard,https://auctions.yahoo.co.jp/search/search?p=A.De+An Choyoon+photocard,Ungraded,2026-08-09,https://coverartarchive.org/release-group/d73f5525-0c9f-453c-9056-c7920151b808/front-250
